,symbol,symbol_anonym,sector
875,FTT.TO,875,Industrials
876,PSK.TO,876,Energy
877,IAF-PB.TO,877,Financial Services
878,RHP,878,Real Estate
879,PVH,879,Consumer Cyclical
880,ABG,880,Consumer Cyclical
881,PKI.TO,881,Energy
882,ALTR,882,Technology
883,OMF,883,Financial Services
884,SMCI,884,Technology
885,GRT-UN.TO,885,Real Estate
886,SOI.PA,886,Technology
887,SNDR,887,Industrials
888,WING,888,Consumer Cyclical
889,AM,889,Energy
890,OZK,890,Financial Services
891,SNC.TO,891,Industrials
892,AUY,892,Basic Materials
893,SNV-PD,893,Financial Services
894,EVR,894,Financial Services
895,ATS.TO,895,Industrials
896,FNB,896,Financial Services
897,MX.TO,897,Basic Materials
898,ESI,898,Basic Materials
899,TENB,899,Technology
900,BPYPN,900,Real Estate
901,ATE.PA,901,Technology
902,RF.PA,902,Financial Services
903,MTSI,903,Technology
904,TNET,904,Industrials
905,SHC,905,Healthcare
906,BFAM,906,Consumer Cyclical
907,BBD-PC.TO,907,Industrials
908,LAC.TO,908,Basic Materials
909,VNOM,909,Energy
910,HOMB,910,Financial Services
911,THO,911,Consumer Cyclical
912,SID,912,Basic Materials
913,WK,913,Technology
914,CIGI,914,Real Estate
915,PENN,915,Consumer Cyclical
916,WFRD,916,Energy
917,DEC.PA,917,Communication Services
918,ERF.TO,918,Energy
919,BIPC,919,Utilities
920,SSD,920,Industrials
921,POWI,921,Technology
922,AL,922,Industrials
923,CS.TO,923,Basic Materials
924,RMBS,924,Technology
925,BSLI4.SA,925,Financial Services
926,PTON,926,Consumer Cyclical
927,NVEI,927,Technology
928,KRG,928,Real Estate
929,SMG,929,Basic Materials
